Timestamp,1.1. Coder Initials,1.2. Article DOI,1.3. Is there a statement in the article that there was a pilot study conducted?,"1.3.1. If there is no pilot study reported in the article, what did the keyword ""pilot"", ""preliminary study"" or ""feasibility study"" refer to? ",2.1.  Is the article a Registered Report? ,2.2.  Does the article state whether or not reported study/studies were preregistered? ,2.3. How many studies does the article report? ,2.4. What type of study(ies) are being reported?,"2.4.1. If the article reports empirical data, what type of empirical data study is being reported?",3.1 How does the article state that there was a pilot study conducted? ,3.2  How is the pilot study referred to in the article? ,3.3  Does the article state how many pilots have been conducted? ,"3.3.1 If there is a statement about the number of pilots conducted, what is the number of pilots?",3.4. Does the article state the purpose of the pilot(s) that have been conducted? ,3.5. Does the article state how the overall procedure for the pilot(s) was decided upon?,3.6. Does the article state the sample size(s) of the pilot(s) that have been conducted?,"3.6.1 If the article state the pilot(s) sample size(s), does it state the justification of the sample size(s)? ",3.7 Does the article state the recruitment method for the sample in the pilot studies? ,3.8 Does the article state the stopping rule: the decision behind finalizing piloting? ,"3.8.1. If the article states the stopping rule, is it possible to categorize this rule into one or more of the categories below? ",3.9  Is there a statement on how similar or different the pilot(s) were from the main study(ies)? ,4.1  Does the article state whether or not data from the pilot(s) are available? ,"4.1.1 If pilot data are available, how does the statement indicate that the data are available?","4.1.2 If pilot data are available, can you access, download, and open the data files without an additional step such as a sign-up or a login? ",5.1. Does the article state whether or not pilot analysis scripts are available? ,"5.1.1 If pilot analyses are available, how does the statement indicate that they are available? ","5.1.2. If pilot analyses are available, can you access, download, and open the pilot analysis scripts without an additional step such as a sign-up or a login?",6.1.  Does the article state whether or not pilot materials/methods are available? ,"6.1.1 If pilot materials/methods are available, how does the statement indicate that they are available? ","6.1.2. If pilot materials/methods are available, can you access, download, and open the files without an additional step such as a sign-up or a login? ",7.1.  Does the article report results or outcomes from the analysis of the pilot study data? ,"7.1.1. If pilot results or outcomes are reported, what are the reported results?","7.1.2. Does the article state that the data or results from the pilot were combined with the final, main study results? ",7.1.3. Does the article state whether or how the pilot study results affected the main study? ,Any other details,8.1. Does the article include a funding statement?,8.2. Does the article include a statement indicating whether there were any conflicts of interest?,"8.2.1. If there is a conflict of interest statement, what is the statement?",Is the pilot reporting in this article an example of “best practice” that could be used to guide others?,"9.1. Do you have any feedback on the form, instructions or general coding procedure?",9.2. How much time did it take you to code this article?
10/26/2025 21:09:14,EP,10.1016/j.dcn.2022.101163,"No, there is no statement that a pilot study was conducted","Refering to previous studies (e.g. ""a small pilot study yielded similar findings in children with ASD (Chong et al., 2021).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 min
10/26/2025 21:14:17,EP,10.1037/pag0000675,"No, there is no statement that a pilot study was conducted","In the reference list, one author had a ""pilot""-part in their name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 min
10/26/2025 22:10:04,EP,10.1016/j.obhdp.2022.104181,"Yes, the article states that there was a pilot study",,No,"Yes, the article states that there is a preregistration",5,Empirical study(ies),"Experimental study, Quantitative observational study","Study 1b
We first conducted a pilot study to create the lists of criteria to be presented to participants across different domains. Please see Supplementary Materials for the Pilot Study. FROM THE SUPPLEMENTARY: Pilot study
We conducted a pilot study to create lists of criteria in four different domains to use in subsequent studies. We posted a study for 400 US participants on Amazon Mechanical Turk. In response, 438 participants (M¬age¬ = 34.98 years; 214 women, 113 men, one other, and 110 unreported) completed the study. We asked the participants to describe the criteria considered mandatory in their society for five different normative standards —a good employee, a good parent, the perfect job, the perfect house, and a beautiful woman. For example, in the employee domain, we asked participants, “Please write down the mandatory qualities an employee should possess to be considered a good employee in your society.” For each question, participants could list as many criteria as they wished.

To identify the most common criteria that participants mentioned for each domain, we submitted all criteria that participants listed in each domain to a latent semantic analysis (Landauer & Dumais, 1997). Specifically, for each domain, we entered all criteria listed by all participants on lsa.colorado.edu, which gave us a list of 100 criteria that were closest in meaning to all the criteria entered. Based on this analysis, we created lists of criteria for each domain to use in the subsequent studies.
***
Study 2b
Pre-Test. We conducted a pre-test to test the assumption that Singaporean consumers have broader normative standards for body washes compared with UK consumers. Given that women are the primary shoppers for household products both in the UK (Statista, 2014) and in Singapore (Nielsen, 2020), we sampled women in this study. We recruited 76 women students (Mage = 23.81) from a large public university in Singapore, and 80 women students from the UK through Prolific Academic™ (Mage = 21.53 years). We presented participants
with a list of 15 criteria that body washes can satisfy (e.g., be moisturizing, be cruelty-free, be dermatologist-approved), and asked them to select the benefits that were required for a body wash to be considered a good body wash. As in Study 1b, for each criterion, participants were asked to select either Yes or No. An independent samples t-test found that
students in Singapore indicated that a good body wash needs to meet more criteria (M = 10.74, 95% CI [10.24, 11.24], SD = 2.19) than did students in the UK (M = 9.91, 95% CI [9.32, 10.51], SD = 2.67, t(154) = 2.101, p =.037, Cohen’s d = 0.33). 

***
Study 5a
In a separate pre-test conducted with the same participant pool, we ensured that all snacks were similarly well-liked (average liking ranged between 3.38 for Ritz™ Cheese Cracker Sandwiches™ to 4.87 for Oreo™ Cookies on a scale from 1 to 7, see Supplementary Materials).
From the SUPPLEMENTARY: 
A separate sample of 79 participants from the same pool as the original study rated how much they would like to receive a $50 hamper of each of the fourteen snacks (How much would you like to receive a gift hamper of [snack] worth $50?) on a 7-point scale from not at all to extremely. Average liking scores ranged between 3.38 to 4.87. Detailed results are reported in Table S7 below. 
As the snack options (e.g., Chips Ahoy, Ritz crackers, Doritos) were common in the US but might or might not be common in other countries, we excluded 12 participants who were not born in the US in the analysis reported in the manuscript. We conducted an additional regression without excluding non-US born participants from the dataset and found that the pattern of results did not change. Specifically, the number of attributes participants chose for a good snack (i.e., the breadth of normative standard) was positively correlated with the number of snack options they chose to view, despite the salient reduction in the hamper value with each additional option they chose to view (r = .14, 95% CI [-.004, .28], p = .057). 
We would also like to note that we paused data collection for about two weeks for Thanksgiving as students traveled out of state to visit their families. 

","“Pilot*” (study, experiment, test or similar; piloting; piloted), pre-test in another studies (study 2b and 5a). Not sure if this is the same as pilot","No but i guess, i can guess it from the article (one pilot per study where mentioned)",3 (my guess),"Study 1b
From the supplementary: We conducted a pilot study to create lists of criteria in four different domains to use in subsequent studies. 
Study 2b
We conducted a pre-test to test the assumption that Singaporean consumers have broader normative standards for body washes compared with UK consumers. 
Study 5a
In a separate pre-test conducted with the same participant pool, we ensured that all snacks were similarly well-liked.",NA,"Study 1b: We posted a study for 400 US participants on Amazon Mechanical Turk. In response, 438 participants (M¬age¬ = 34.98 years; 214 women, 113 men, one other, and 110 unreported) completed the study.
Study 2b:   
We recruited 76 women students (Mage = 23.81) from a large public university in Singapore, and 80 women students from the UK through Prolific Academic™ (Mage = 21.53 years). 
Study 5a:
A separate sample of 79 participants from the same pool as the original study ....","NA but a justification for a sample composition (Study 2b: Given that women are the primary
shoppers for household products both in the UK (Statista, 2014) and in Singapore (Nielsen, 2020), we sampled women in this study).","Study 1b: We posted a study for 400 US participants on Amazon Mechanical Turk.
Study 2b: We recruited 76 women students (Mage = 23.81) from a large public university in Singapore, and 80 women students from the UK through Prolific Academic™ (Mage = 21.53 years). 
Study 5a: A separate sample of 79 participants from the same pool as the original study ...",NA,,"Study 1b: Specifically, for each domain, we entered all criteria listed by all participants on lsa.colorado.edu, which gave us a list of 100 criteria that were closest in meaning to all the criteria entered. Based on this analysis, we created lists of criteria for each domain to use in the subsequent studies.
Study 2b: NA
Study 5a: In the main study, we presented the snacks in increasing order of mean liking score (from the pre-test) to reduce the chances that most participants would just
select the first snack shown. 
",No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,Yes,"Study 1b: 
Specifically, for each domain, we entered all criteria listed by all participants on lsa.colorado.edu, which gave us a list of 100 criteria that were closest in meaning to all the criteria entered. 
Study 2b: 
An independent samples t-test found that students in Singapore indicated that a good body wash needs to meet more criteria (M = 10.74, 95% CI [10.24, 11.24], SD = 2.19) than did
students in the UK (M = 9.91, 95% CI [9.32, 10.51], SD = 2.67, t(154) = 2.101, p =.037, Cohen’s d = 0.33). 
Study 5a: 
Average liking scores ranged between 3.38 to 4.87. Detailed results are reported in Table S7 below.","No, there is no statement about combining pilot data or results with the main study sample.","Study 1b: Based on this analysis, we created lists of criteria for each domain to use in the subsequent studies.
Study 2b: NA
Study 5a: In the main study, we presented the snacks in increasing order of mean liking score (from the pre-test) to reduce the chances that most participants would just
select the first snack shown. ",Not sure if pre-test is the same as pilot,NA,"Yes, the statement says that there is no conflict of interest",NA,No,,too long :-( 50 min
10/27/2025 13:22:00,EP,10.1037/pspa0000305,"No, there is no statement that a pilot study was conducted","Keyword(s) in the references (e.g. ""J. Wild, A. Hackmann, D.M. Clark. Rescripting early memories linked to negative images in social phobia: A pilot study."")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I can not access the PDFs in Zotero. I don't know why. It shows me pdfs but they are grayed out,3 min
10/27/2025 13:40:49,EP,10.1016/j.cognition.2022.105345,"Yes, the article states that there was a pilot study",,No,"No, there is no statement about preregistration",3,Empirical study(ies),Experimental study,"A pilot study was performed to properly select the multiple compression rates in the first experiment. For the second experiment we adjusted the compression rate based on the first
experiment and another pilot study. ","“Pilot*” (study, experiment, test or similar; piloting; piloted)",I think i can figure it out from the context (2),3 studies but 2 pilots,A pilot study was performed to properly select the multiple compression rates in the first experiment. ,NA,NA,NA,NA,NA,,NA,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,"Only very generic: Overall, the range of values of the different compression rates have been appropriately chosen and capture the sigmoid shape of our psychometric data. ",,"No, there is no statement about combining pilot data or results with the main study sample.",For the second experiment we adjusted the compression rate based on the first experiment and another pilot study. ,"There is almost no info on pilot, unless I fail to see it (I also checked the SM, but nothing there)","This work was supported by ANR-16-CONV-0002 (ILCB), ANR-11-LABX-0036 (BLRI) and the Excellence Initiative of Aix-Marseille University (A*MIDEX), ANR-20-CE28-0007 and ERC-CoG-101043344 to Benjamin Morillon. Jeremy Giroud was supported by a grant from the
French league against Epilepsy (LFCE)","Yes, the statement says that there is no conflict of interest",,No,,20 min
10/27/2025 21:30:16,EP,10.1016/j.bandl.2022.105218,"No, there is no statement that a pilot study was conducted","Aviation context (e.g. ""The pilots interviewed at the airport..."")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 min
10/27/2025 22:07:31,EP,10.1177/09567976211043428,"Yes, the article states that there was a pilot study",,No,"Yes, the article states that there is a preregistration",3,Empirical study(ies),Experimental study,"The first is a pilot experiment (N = 17), ...
The number of participants in the first experiment (the pilot) was determined on the basis
of previous similar confidence studies (e.g., Pleskac & Busemeyer, 2010). ","“Pilot*” (study, experiment, test or similar; piloting; piloted)",Yes,One pilot study reported in the article (single study),NA,NA,"The first is a pilot experiment (N = 17),...","The number of participants in the first experiment (the pilot) was determined on the basis
of previous similar confidence studies (e.g., Pleskac & Busemeyer, 2010).","A total of 102 undergraduates from Tel Aviv University (68 female; age: M = 25 years, range = 21–35 years) participated in the three experiments. ","The number of participants in the first experiment (the pilot) was determined on the basis
of previous similar confidence studies (e.g., Pleskac & Busemeyer, 2010).",Predetermined sample size,"Experiments 1 and 2 used the same paradigms (Fig. 2)...  A small difference between Experiment 1 and Experiment 2 was that in Experiment 1, the number of samples in each trial for the interrogation session was always equal to the corresponding trial from the freeresponse session. In Experiment 2, the number of samples in the interrogation session was either equal or equal minus 1 (n or n – 1) depending on the RT within the last sample (RT ≥ 250 ms = n, RT > 250 ms = n – 1). This change was made because of our assumption that trials in which participants responded faster than 250 ms were those in which the last sample was not used to guide the decision but could be used to inform confidence. ",No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,Yes,"Table 1. Average Choice Accuracy and Measures of Confidence Resolution in Experiment 1
Measure
Session Comparison
Free response Interrogation t(16) p Cohen’s d
Accuracy .81 .81 0.4 .66 0.10
Confidence resolution 0.87 1.01 2.3 .03 0.56
Gamma correlation between confidence and accuracy .51 .58 1.8 .08 0.44
Type 2 AUROC .67 .7 2.1 .05 0.51
Note: Accuracy is the proportion of correct responses. AUROC = area under the receiver operating characteristic curve.","No, there is no statement about combining pilot data or results with the main study sample.","Experiment 2. On the basis of the above results, we carried out a preregistered experiment (https://osf.io/ gt2qz/) on a larger cohort of participants (N = 35). This sample size was selected on the basis of an a priori power analysis that tested the difference between confidence resolution in Session 1 and Session 2 of Experiment 1 (using a two-tailed paired-samples t test with an α of .01). This analysis showed that 35 participants were required to achieve a power of .80.",,"This research was supported by a grant to M. Usher from the Israel Science Foundation (Grant No. 1413/17). S. M. Fleming is funded by a Wellcome/Royal Society Sir Henry
Dale Fellowship (206648/Z/17/Z) and a Philip Leverhulme Prize from the Leverhulme Trust. The Wellcome Centre for Human Neuroimaging is supported by core funding from
the Wellcome Trust (203147/Z/16/Z). The Max Planck UCL Centre for Computational Psychiatry and Ageing Research is a joint initiative supported by University College London
and the Max Planck Society","Yes, the statement says that there is no conflict of interest",,No,,30 min
10/27/2025 22:17:57,EP,10.1002/ejsp.2803,"I have no idea :D They write ""1 Study 2 is a preregistered, exact replication of an underpowered preliminary study."" But I dont know where I cant find this preliminary study. ","Refering to previous studies (e.g. ""a small pilot study yielded similar findings in children with ASD (Chong et al., 2021).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 min
10/28/2025 8:01:02,EP,10.1177/13623613211070865,"No, there is no statement that a pilot study was conducted","Keyword(s) in the references (e.g. ""J. Wild, A. Hackmann, D.M. Clark. Rescripting early memories linked to negative images in social phobia: A pilot study."")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 min
10/28/2025 8:07:43,EP,10.1080/08870446.2022.2112581,"No, there is no statement that a pilot study was conducted","Refering to previous studies (e.g. ""a small pilot study yielded similar findings in children with ASD (Chong et al., 2021).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It was hard to figure out whether the pilot, they refer to, was done previously or within this study. somehow it was not clear. Since there is a reference, I assume it was not part of this study. But i am not sure:
""Partner Investment items were then pilot tested in populations including couples
transitioning to parenthood, cancer survivors and their romantic partners, and couples
coping with diabetes (Wooldridge & Ranby, 2019)""",10 min
10/28/2025 8:33:30,EP,10.1002/eat.23759,"Yes, the article states that there was a pilot study",,Yes,"Yes, the article states that there is a preregistration",2 (one of which is a pilot),Empirical study(ies),"Quantitative observational study, Qualitative study","2.1 | Study 1: Pilot study
Initial survey items were created to measure awareness of self-objectification and objectification by others. Survey items gauge thedegree to which this cognizance relates to behavior (e.g., throughrestricted eating or attempts to alter one's appearance through exer-cise or “self-care” techniques). The 63 items were developed basedon a thorough literature review and in response to perceived gaps inexisting self-objectification questionnaires. Experts in the areas ofself-objectification and DE will be contacted for further input on sur-vey items to strengthen construct validity.
... (not sure if you need the whole paragraph)","“Pilot*” (study, experiment, test or similar; piloting; piloted)",Yes,One pilot study reported in the article (single study),NA,NA,"Participants who self-identify as women 18 and older (N = 24) will berecruited by email, social media advertisements, or flyers. ","This samplesize has been well-established for qualitative survey feedback (Hertzog, 2008; Johanson & Brooks, 2010).","Participants who self-identify as women 18 and older (N = 24) will berecruited by email, social media advertisements, or flyers. ","This sample size has been well-established for qualitative survey feedback(Hertzog, 2008; Johanson & Brooks, 2010).",Predetermined sample size,"Though we expect the number of original items to change after expert consultation and Study 1 participant feedback, ...","Since it is RR, there are no data yet. But they write ""The data that will support the findings of this study will be available from the corresponding author upon reasonable request""","Upon request from the authors, Since it is RR, i dont know if data from pilot can be requested as well",,No (GO TO NEXT SECTION),,,Yes,Supplementary materials hosted by the journal,Yes,"Since it is RR, there are no results to report",,"No, there is no statement about combining pilot data or results with the main study sample.",The authors will review qualitative survey data and adapt survey itemsbased on recurring concerns or suggestions.,,Fordham University Faculty Fellowship (NLB).,"Yes, the statement says that there is no conflict of interest",,No,,20 min
10/28/2025 12:47:43,EP,10.1111/cdev.13793,"Yes, the article states that there was a pilot study",,No,"No, there is no statement about preregistration",1,Empirical study(ies),"Experimental study, Quantitative observational study"," Other tasks, not reported here,assessed executive function and piloted new measures ofnumber knowledge. 
...
As a preliminary task, a row of 15 fish was laid out andthe child was asked to count them. 
As a preliminary task, we wanted to establish that children had a basic count list, to ensure that performanceon Give-N was meaningful. ","“Pilot*” (study, experiment, test or similar; piloting; piloted), “Preliminary” (study, experiment, test or similar)",No,,"Re: pilot: NA
Re: preliminary task: As a preliminary task, we wanted to establish that children had a basic count list, to ensure that performanceon Give-N was meaningful. ",NA,"From reading the article, my assumption is that it was the same sample as for the main study: Participants were 123 preschool children, including a DHH sample (n = 44; 21 girls; range =40.3– 74.5months; mean = 57.5 months) and a TH sample (n = 79; 51girls; range = 36.0– 79.0 months; mean = 49.2 months)",NA,"DHH participants were tested from 2011 through 2013 at private and public oral- deaf, non-signing preschools in New York and Massachusetts (Clarke Schools forHearing and Speech), New Jersey (Summit School ofSpeech), and Connecticut (Soundbridge). 
***
TH participants were either recruited from around central Connecticut and tested in a laboratory setting or were recruited from local Middletown preschools and Head Start programs and tested on-site.",NA,,"From what I can tell, it was very different, because it was not a pilot but a preliminary task",No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,"For a pilot, no; for a preliminary task, yes","All children except for 4, all DHH, could either count to 10 or had a count list higher than their knower-level (e.g., a two-knower who could count to six). ","No, there is no statement about combining pilot data or results with the main study sample.",NA,,"This project was funded by National Science Foundation CAREER #DRL-0845966, National Science Foundation #DRL-1420196, and National Science Foundation #DRK-12-2010547 to A.S.","No, there is no conflict of interest statement",,No,,30 min
10/29/2025 7:53:03,RS,10.1111/psyp.14042,"Yes, the article states that there was a pilot study",,No,"No, there is no statement about preregistration",1,Empirical study(ies),Experimental study,"The pitch movements had a naturalistic pitch span (40 Hz, 6 semitones) compared with the pitch movements of Swedish word tones and were easily distinguished by several native speakers of German and Swedish who piloted the experiment.","“Pilot*” (study, experiment, test or similar; piloting; piloted)",No,One pilot study reported in the article (single study),NA,NA,,NA,NA,NA,,"The pitch movements had a naturalistic pitch span (40 Hz, 6 semitones) compared with the pitch movements of Swedish word tones and were easily distinguished by several native speakers of German and Swedish who piloted the experiment.",supplementary material available but not state pilot data specifically,Supplementary materials hosted by the journal,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,Yes,"The pitch movements had a naturalistic pitch span (40 Hz, 6 semitones) compared with the pitch movements of Swedish word tones and were easily distinguished by several native speakers of German and Swedish who piloted the experiment.","No, there is no statement about combining pilot data or results with the main study sample.",NA,,NA,"Yes, the statement says that there is no conflict of interest",,No,,10 min
